FURNISHED,GOURMET_SPACE,KITCHEN,DRESS_ROOM,BATHROOMS,BALCONY,SPORTS_COURT,FOOD_COURT,RECREATION_AREA,REST_AREAS,POOL,SAFETY,VIEW,ACCESSIBILITY,WORK_AREAS,GARAGE,SUSTAINABILITY,OUTDOOR_AREAS,PET_FRIENDLY,MID_END_APARTMENT_AMENITIES,HIGH_END_APARTMENT_AMENITIES,HIGH_END_CONDO_AMENITIES,ZONE_CODE,NEIGHBORHOOD_CODE,ZONE,NEIGHBORHOOD,STREET,PRICE,USABLEAREAS,TOTALAREAS,PARKINGSPACES,SUITES,BEDROOMS,TOTAL_AMENITIES,ELEVATOR,SERVICE_AREA,LAUNDRY,LUNCH_ROOM,ESSENTIAL_PUBLIC_SERVICES,NEAR_ACCESS_ROADS,NEAR_SCHOOL,NEAR_HOSPITAL,NEAR_SHOPPING_CENTER,NEAR_PUBLIC_TRANSPORT,COVERAGE,YEARLY_EXPENSES
False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4,53,Zona Sul,Ipanema,Rua Canning,1400000,64,64,0,0,2,1,True,False,False,False,False,False,False,False,False,False,False,14147
False,False,True,False,True,True,False,False,True,False,False,True,False,False,False,True,False,True,False,True,True,False,4,50,Zona Sul,Humaitá,Rua Davi Campista,1580000,135,135,1,1,3,12,True,True,False,False,False,False,False,False,False,False,False,22195
False,False,True,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,True,False,False,False,2,26,Zona Norte,Cocotá,Rua Tenente Cleto Campelo,300000,73,73,1,0,2,10,True,True,False,False,False,False,False,False,False,False,False,8605
True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,3,93,Zona Oeste,Recreio dos Bandeirantes,Avenida José Luiz Ferraz,760000,99,99,2,1,3,3,False,False,False,False,False,False,False,False,False,False,False,21730
False,False,False,False,True,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,2,44,Zona Norte,Grajaú,Rua Araxá,580000,150,150,1,1,3,4,True,False,False,False,False,False,False,False,False,False,False,20308
True,True,False,False,True,False,True,True,True,True,True,True,False,True,True,False,True,True,False,True,False,True,3,9,Zona Oeste,Barra da Tijuca,Avenida das Acácias da Península,1350000,79,79,1,1,2,23,True,False,True,False,False,False,False,False,False,False,False,23561
False,False,False,False,True,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,4,62,Zona Sul,Lagoa,Rua Presidente Alfonso López,1590000,99,99,2,1,3,6,False,False,False,False,False,False,False,False,False,False,False,29052
False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,4,28,Zona Sul,Copacabana,Rua Joaquim Nabuco,2650000,178,178,2,2,4,3,False,False,False,False,False,False,False,False,False,False,False,42670
False,True,True,False,True,False,True,True,False,True,True,True,False,False,False,False,False,False,False,True,False,False,3,93,Zona Oeste,Recreio dos Bandeirantes,Avenida José Luiz Ferraz,515000,68,68,1,1,2,10,True,True,False,False,False,False,False,False,False,False,False,13175
True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,False,False,True,True,True,False,4,53,Zona Sul,Ipanema,Avenida Epitácio Pessoa,1500000,92,92,1,1,2,29,True,True,False,False,False,False,False,False,False,False,False,23715
